Merge ID	Masuda2009_fin2	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13_BasicProteome Duplicates	Entry name (Uniprot)	mRNA	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization
P38105	0	1	1	1	1	0	0	4	B	RSPB_ECOLI			0	0	0	0		
P39263	0	1	1	1	0	0	0	3	B	YFCC_ECOLI			1	0				
P39282	0	1	1	1	0	0	0	3	B	YJEM_ECOLI			0	0				
P39295	0	1	1	1	0	0	0	3	B	YJFM_ECOLI			0	0	0			
P39338	0	1	1	1	0	0	0	3	B	YJGN_ECOLI			0	0				
P39381	0	1	1	1	0	0	0	3	B	YJIJ_ECOLI			0	0	0			
P39386	0	1	1	1	0	0	0	3	B	MDTM_ECOLI			0	0	0			
P39414	0	1	1	1	0	0	0	3	B	TTDT_ECOLI			0	0	0			
P39834	0	1	1	1	0	0	0	3	G	YGIL_ECOLI			0	0	0			
P41442	0	1	1	1	1	0	0	4	B	GSPG_ECOLI			0	0	0	0		
P41443	0	1	1	1	1	0	0	4	G	GSPH_ECOLI			0	0	0	0		
P42619	0	1	1	1	0	0	0	3	B	YQJF_ECOLI			0	0	0			
P42905	0	1	1	1	1	0	0	4	B	PTPC2_ECOLI			0	0	0	0		
P42910	0	1	1	1	1	0	0	4	B	PTPC1_ECOLI			0	0	0	0		
P42914	0	1	1	1	0	0	0	3	G	YRAI_ECOLI			0	0	0			
P43319	0	1	1	1	0	0	0	3	G	YRAK_ECOLI			0	1	0			
P43676	0	1	1	1	1	0	0	4	B	PITB_ECOLI			0	0	0	0		
P45428	0	1	1	1	0	0	0	3	B	DCUD_ECOLI			0	0	0			
P45539	0	1	1	1	0	0	0	3	B	FRLA_ECOLI			0	0	0			
P45570	0	1	1	1	0	0	0	3	B	YBCI_ECOLI			0	0	0			
P45756	0	1	1	1	0	0	0	3	B	GSPA_ECOLI			0	0	0			
P45757	0	1	1	1	0	0	0	3	B	GSPC_ECOLI			0	0				
P45758	0	1	1	1	0	0	0	3	G	GSPD_ECOLI			0	0	0			
P45759	0	1	1	1	0	0	0	3	F1	GSPE_ECOLI			0	0	0			
P45760	0	1	1	1	0	0	0	3	G	GSPI_ECOLI			0	0	0			
P45761	0	1	1	1	0	0	0	3	G	GSPJ_ECOLI			0	0	0			
P45762	0	1	1	1	0	0	0	3	G	GSPK_ECOLI			0	0	0			
P45763	0	1	1	1	0	0	0	3	B	GSPL_ECOLI			0	0	0			
P46133	0	1	1	1	0	0	0	3	B	ABGT_ECOLI			0	0	0			
P46481	0	1	1	1	0	0	0	3	B	AAEB_ECOLI			0	0	0			
P46923	0	1	1	1	0	0	0	3	G	TORZ_ECOLI			0	0	0			
P64442	0	1	1	1	0	0	0	3	B	YCEO_ECOLI			0	0	0			
P64459	0	1	1	1	0	0	0	3	G	YNCJ_ECOLI			0	0	0			
P64542	0	1	1	1	0	0	0	3	G	YPEC_ECOLI			0	0	0			
P64572	0	1	1	1	0	0	0	3	B	YGHR_ECOLI			0	0	0			
P64592	0	1	1	1	0	0	0	3	B	YHAI_ECOLI			0	0	0			
P64634	0	1	1	1	0	0	0	3	B	YRFC_ECOLI			0	0	0			
P65290	0	1	1	1	0	0	0	3	I	YFGH_ECOLI			0	0	0			
P67127	0	1	1	1	0	0	0	3	B	YGDQ_ECOLI			0	0	0			
P69367	0	1	1	1	0	0	0	3	B	MDTH_ECOLI			0	0	0			
P69808	0	1	1	1	0	0	0	3	G	PTFB1_ECOLI			0	0	0			
P69826	0	1	1	1	1	0	0	4	B	PTMCB_ECOLI			0	0	0	0		
P69937	0	1	1	1	1	0	0	4	B	SUGE_ECOLI			0	0		0		
P71238	0	1	1	1	0	0	0	3	B	WCAD_ECOLI			0	0	0			
P75687	0	1	1	1	0	0	0	3	G	YKGI_ECOLI			0	0	0			
